07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	07add453-ffca-4924-a302-c096301ffde9	baseclear2	skesa	out	0	66
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	07add453-ffca-4924-a302-c096301ffde9	baseclear	shovill	out	0	67
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	07add453-ffca-4924-a302-c096301ffde9	baseclear	skesa	out	0	76
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	07add453-ffca-4924-a302-c096301ffde9	novogene2	shovill	out	0	82
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	07add453-ffca-4924-a302-c096301ffde9	novogene2	skesa	out	0	78
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	07add453-ffca-4924-a302-c096301ffde9	novogene	shovill	out	3	86
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	07add453-ffca-4924-a302-c096301ffde9	novogene	skesa	out	0	79
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	07add453-ffca-4924-a302-c096301ffde9	ogc2	shovill	out	1	119
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	07add453-ffca-4924-a302-c096301ffde9	ogc2	skesa	out	0	85
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	07add453-ffca-4924-a302-c096301ffde9	ogc	shovill	out	2	103
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	07add453-ffca-4924-a302-c096301ffde9	ogc	skesa	out	0	79
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ac3698-a8e9-48f5-b122-1b74699b03d2	baseclear2	shovill	out	118	15861
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ac3698-a8e9-48f5-b122-1b74699b03d2	baseclear2	skesa	out	115	15799
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ac3698-a8e9-48f5-b122-1b74699b03d2	baseclear	shovill	out	118	15873
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ac3698-a8e9-48f5-b122-1b74699b03d2	baseclear	skesa	out	115	15803
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ac3698-a8e9-48f5-b122-1b74699b03d2	novogene2	shovill	out	118	15845
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ac3698-a8e9-48f5-b122-1b74699b03d2	novogene2	skesa	out	119	15829
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ac3698-a8e9-48f5-b122-1b74699b03d2	novogene	shovill	out	118	15862
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ac3698-a8e9-48f5-b122-1b74699b03d2	novogene	skesa	out	118	15831
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ac3698-a8e9-48f5-b122-1b74699b03d2	ogc2	shovill	out	118	15862
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ac3698-a8e9-48f5-b122-1b74699b03d2	ogc2	skesa	out	118	15822
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ac3698-a8e9-48f5-b122-1b74699b03d2	ogc	shovill	out	118	15865
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ac3698-a8e9-48f5-b122-1b74699b03d2	ogc	skesa	out	118	15827
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ba9271-7b15-43ff-a231-26f2de67919c	baseclear2	shovill	out	139	27878
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ba9271-7b15-43ff-a231-26f2de67919c	baseclear2	skesa	out	140	27849
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ba9271-7b15-43ff-a231-26f2de67919c	baseclear	shovill	out	138	27867
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ba9271-7b15-43ff-a231-26f2de67919c	baseclear	skesa	out	138	27854
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ba9271-7b15-43ff-a231-26f2de67919c	novogene2	shovill	out	141	27873
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ba9271-7b15-43ff-a231-26f2de67919c	novogene2	skesa	out	140	27866
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ba9271-7b15-43ff-a231-26f2de67919c	novogene	shovill	out	140	27875
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ba9271-7b15-43ff-a231-26f2de67919c	novogene	skesa	out	141	27868
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ba9271-7b15-43ff-a231-26f2de67919c	ogc2	shovill	out	140	27877
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ba9271-7b15-43ff-a231-26f2de67919c	ogc2	skesa	out	139	27846
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ba9271-7b15-43ff-a231-26f2de67919c	ogc	shovill	out	139	27870
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	15ba9271-7b15-43ff-a231-26f2de67919c	ogc	skesa	out	139	27842
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	38a84588-0478-41de-9224-3dcef239320a	baseclear2	shovill	out	118	27885
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	38a84588-0478-41de-9224-3dcef239320a	baseclear2	skesa	out	113	27691
07add453-ffca-4924-a302-c096301ffde9	baseclear2	shovill	38a84588-0478-41de-9224-3dcef239320a	baseclear	shovill	out	116	27874
